date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:20	33200/33200	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Mar%202021%2019:45:28%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/index.html	duruthemes.com/demo/html/gorman/light-onepage/index.html	(from )
06:28:21	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Sep%202021%2006:28:20%20GMT	http://duruthemes.com/robots.txt		(from )
06:28:21	2930/2930	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Dec%202020%2022:54:32%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/favicon.png	duruthemes.com/demo/html/gorman/light-onepage/images/favicon.png	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:22	71552/71552	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/animate.css	duruthemes.com/demo/html/gorman/light-onepage/css/animate.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:23	6099/6099	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/et-lineicons.css	duruthemes.com/demo/html/gorman/light-onepage/css/et-lineicons.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:24	16402/16402	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/themify-icons.css	duruthemes.com/demo/html/gorman/light-onepage/css/themify-icons.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:25	160392/160392	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Nov%202020%2020:01:15%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/bootstrap.css	duruthemes.com/demo/html/gorman/light-onepage/css/bootstrap.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:26	7849/7849	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Nov%202020%2016:41:25%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/magnific-popup.css	duruthemes.com/demo/html/gorman/light-onepage/css/magnific-popup.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:27	3269/3269	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Nov%202020%2015:37:42%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/owl.carousel.min.css	duruthemes.com/demo/html/gorman/light-onepage/css/owl.carousel.min.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:28	1003/1003	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Nov%202020%2015:37:56%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/owl.theme.default.min.css	duruthemes.com/demo/html/gorman/light-onepage/css/owl.theme.default.min.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:29	6871/6871	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Dec%202020%2000:40:10%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/flexslider.css	duruthemes.com/demo/html/gorman/light-onepage/css/flexslider.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:30	42586/42586	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Feb%202021%2013:14:33%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/style.css	duruthemes.com/demo/html/gorman/light-onepage/css/style.css	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:33	34279/34279	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2019:55:26%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/gorman.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/gorman.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:37	10291/10291	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2016:24:05%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/project-page.html	duruthemes.com/demo/html/gorman/light-onepage/project-page.html	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:41	63789/63789	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2022:55:29%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/about.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/about.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:28:52	62871/62871	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2021:52:15%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/02.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/02.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:02	92526/92526	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Dec%202020%2000:27:46%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/05.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/05.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:07	172617/172617	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Dec%202020%2000:28:09%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/01.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/01.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:11	639/639	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Nov%202020%2021:59:29%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/quot.png	duruthemes.com/demo/html/gorman/light-onepage/images/quot.png	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:13	103739/103739	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2021:51:52%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/06.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/06.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:14	172796/172796	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2021:52:07%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/03.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/03.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:15	60199/60199	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Nov%202018%2017:58:08%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/07.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/07.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:17	14598/14598	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2016:24:09%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/post.html	duruthemes.com/demo/html/gorman/light-onepage/post.html	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:22	41534/41534	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Jan%202019%2022:22:26%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/testimonials/01.png	duruthemes.com/demo/html/gorman/light-onepage/images/testimonials/01.png	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:25	51832/51832	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Jan%202019%2022:22:31%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/testimonials/02.png	duruthemes.com/demo/html/gorman/light-onepage/images/testimonials/02.png	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:25	44686/44686	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Jan%202019%2022:22:37%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/testimonials/03.png	duruthemes.com/demo/html/gorman/light-onepage/images/testimonials/03.png	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:38	80066/80066	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Nov%202018%2018:18:29%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/blog/2.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/blog/2.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:39	110234/110234	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Nov%202018%2018:42:26%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/blog/1.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/blog/1.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:42	15413/15413	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:40%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/js/modernizr-2.6.2.min.js	duruthemes.com/demo/html/gorman/light-onepage/js/modernizr-2.6.2.min.js	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:45	85578/85578	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2021:25:41%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/js/jquery.min.js	duruthemes.com/demo/html/gorman/light-onepage/js/jquery.min.js	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
